gene	chr	pos	fdr
GH_A01G0503	A01	5844312	0.670061873814856
GH_A01G0506	A01	6044646	0.734230013424212
GH_A01G0521	A01	6383879	0.468538190912026
GH_A01G0522	A01	6386057	0.717041126855107
GH_A01G0524	A01	6408699	0.192999670821462
GH_A01G0529	A01	6478739	0.629612848712202
GH_A01G0561	A01	6873579	0.435946422157551
GH_A01G0591	A01	7240658	0.456190277819969
GH_A01G0605	A01	7392382	0.561947879312302
GH_A01G0619	A01	7565062	0.575648724528586
GH_A01G0620	A01	7583748	0.477717877035865
GH_A01G0625	A01	7657695	0.724268308339275
GH_A01G0626	A01	7668104	0.474896241069975
GH_A01G0630	A01	7730133	0.611824117028157
GH_A01G0633	A01	7755107	0.793433233915308
GH_A01G0637	A01	7799222	0.745587712590944
GH_A01G0691	A01	9073754	0.519042041005044
GH_A01G0693	A01	9226467	0.648758977648569
GH_A01G0702	A01	9695664	0.60485092853321
GH_A01G0704	A01	9729247	0.6161362078447
GH_A01G0708	A01	9808659	0.71534730351655
GH_A01G0754	A01	11349977	0.777176611198353
GH_A01G0807	A01	12187351	0.196428763196098
GH_A01G0808	A01	12188215	0.427716332412376
GH_A01G0811	A01	12196421	0.502251783069863
GH_A01G0817	A01	12284867	0.543971112651394
GH_A01G0886	A01	13857009	0.621312948076135
GH_A01G0898	A01	14104802	0.441777093615258
GH_A01G0899	A01	14106790	0.727697357209631
GH_A01G0901	A01	14114995	0.727850658967218
GH_A01G0902	A01	14118054	0.71621979402057
GH_A01G0930	A01	15863982	0.810955993070777
GH_A01G0939	A01	16454111	0.774130226232851
GH_A01G0940	A01	16461687	0.734862652287736
GH_A01G0946	A01	16613117	0.708455506789165
GH_A01G0948	A01	16670411	0.704315294751081
GH_A01G0949	A01	16748701	0.73043025564328
GH_A01G0974	A01	17846048	0.777950301684615
GH_A01G0987	A01	18320742	0.750185501752446
GH_A01G0999	A01	18882060	0.576715292412142
GH_A01G1016	A01	19170056	0.800617870183851
GH_A01G1019	A01	19222210	0.838161552223792
GH_A01G1022	A01	19336209	0.733083508164632
GH_A01G1024	A01	19409027	0.566260768637732
GH_A01G1028	A01	19477962	0.461975247416159
GH_A01G1043	A01	19785635	0.558954865119635
GH_A01G1048	A01	19818508	0.585167736751997
GH_A01G1051	A01	19956499	0.587046424822937
GH_A01G1055	A01	20046432	0.820724037923251
GH_A01G1079	A01	21046696	0.778531791463956
GH_A01G1081	A01	21126188	0.790389838728624
GH_A01G1091	A01	21371841	0.468091874149984
GH_A01G1101	A01	22280616	0.546431815009635
GH_A01G1269	A01	38519581	0.35363695287564
GH_A01G1289	A01	40617782	0.460431030461101
GH_A01G1300	A01	41605232	0.512267114582197
GH_A01G1312	A01	42590097	0.578658872041035
GH_A01G1512	A01	72338100	0.84131262896766
GH_A01G1582	A01	82200007	0.666516462390406
GH_A01G1673	A01	94157608	0.751980015255418
GH_A01G1681	A01	94563132	0.744042897459796
GH_A01G1698	A01	95407890	0.809218775039296
GH_A01G1700	A01	95496629	0.773507266610582
GH_A01G1701	A01	95603248	0.758541471378169
GH_A01G1704	A01	96165579	0.758124692241943
GH_A01G1715	A01	98881177	0.782741559909542
GH_A01G1731	A01	100704409	0.713463188302101
GH_A01G1733	A01	100889268	0.751375745290985
GH_A01G1738	A01	101354397	0.841674422397078
GH_A01G1744	A01	102279431	0.860202398229986
GH_A01G1749	A01	102916537	0.755406484435085
GH_A01G1756	A01	103249953	0.794676431884944
GH_A01G1763	A01	103465418	0.777180015480907
GH_A01G1772	A01	104130851	0.757451596030166
GH_A01G1774	A01	104320355	0.769258208324
GH_A01G1780	A01	105001499	0.760568229959957
GH_A01G1781	A01	105006671	0.720148163352424
GH_A01G1782	A01	105074470	0.756640691202276
GH_A01G1829	A01	106843766	0.443170009097152
GH_A01G1918	A01	108660042	0.661581808296835
GH_A01G1946	A01	109167688	0.760546347891663
GH_A01G1947	A01	109170676	0.564036518985029
GH_A01G1952	A01	109260583	0.576215617515719
GH_A01G1979	A01	109816394	0.484301656513738
GH_A01G1980	A01	109916312	0.509483015186727
GH_A01G2009	A01	110651730	0.595743686841854
GH_A01G2022	A01	111077251	0.717019601822436
GH_A01G2024	A01	111090135	0.682117215303183
GH_A01G2025	A01	111092658	0.687246087890643
GH_A01G2028	A01	111159250	0.757011891307629
GH_A01G2054	A01	111834217	0.174662887839322
GH_A01G2076	A01	112329534	0.756231689715712
GH_A01G2086	A01	112505185	0.406977212908323
GH_A01G2091	A01	112594424	0.379091810815195
GH_A01G2104	A01	113017376	0.351778803252414
GH_A01G2113	A01	113096617	0.749061690736335
GH_A01G2150	A01	113641573	0.333264246804544
GH_A01G2165	A01	113829635	0.428459991141573
GH_A01G2206	A01	114485428	0.37945357922241
GH_A01G2209	A01	114797430	0.457635273989149
GH_A01G2212	A01	114904783	0.37945357922241
GH_A01G2238	A01	115230259	0.520963674400844
GH_A01G2253	A01	115594835	0.744909655887779
GH_A01G2257	A01	115734362	0.431046715314218
GH_A01G2258	A01	115746663	0.439546052536707
GH_A01G2308	A01	116288780	0.544473755526463
GH_A01G2310	A01	116304754	0.543547870677661
GH_A01G2316	A01	116422313	0.565294465056812
GH_A01G2318	A01	116435732	0.627601317767126
GH_A01G2348	A01	116697475	0.497361096080759
GH_A01G2351	A01	116717362	0.693281428964422
GH_A01G2385	A01	116990014	0.651031882688818
GH_A01G2388	A01	117005882	0.587773193733887
GH_A01G2390	A01	117049201	0.221692883883728
GH_A01G2416	A01	117313667	0.286621251450251
GH_A01G2431	A01	117430693	0.0146309869422207
GH_A01G2464	A01	117787288	0.0031501845514838
GH_A01G2469	A01	117821412	0.00103550595970283
GH_A02G0003	A02	21380	0.417092089802528
GH_A02G0004	A02	37559	0.367347113001139
GH_A02G0062	A02	507221	0.223720763096075
GH_A02G0068	A02	548198	0.694512324456079
GH_A02G0085	A02	695735	0.581423721866267
GH_A02G0088	A02	714566	0.737829055306062
GH_A02G0089	A02	717158	0.684847306012674
GH_A02G0090	A02	718790	0.693671094890092
GH_A02G0098	A02	833745	0.688092449225563
GH_A02G0112	A02	943023	0.579576700463089
GH_A02G0118	A02	1028636	0.790341057205364
GH_A02G0139	A02	1238912	0.54094141943562
GH_A02G0149	A02	1455033	0.779799188740057
GH_A02G0152	A02	1513557	0.74083631401958
GH_A02G0153	A02	1519031	0.68065348204557
GH_A02G0171	A02	1710562	0.755640481019094
GH_A02G0178	A02	1790665	0.683330071355189
GH_A02G0189	A02	1942966	0.77906213395258
GH_A02G0194	A02	2023440	0.579470981141581
GH_A02G0253	A02	2679134	0.547916830206038
GH_A02G0278	A02	3024529	0.797001673853216
GH_A02G0282	A02	3058801	0.742142301546887
GH_A02G0283	A02	3064395	0.742274888018499
GH_A02G0290	A02	3118258	0.640335702349166
GH_A02G0292	A02	3125472	0.598092628431125
GH_A02G0294	A02	3154397	0.390417274374088
GH_A02G0297	A02	3178755	0.640063953854118
GH_A02G0303	A02	3245303	0.647819412298074
GH_A02G0304	A02	3249621	0.680331544418708
GH_A02G0332	A02	3589131	0.250677871315557
GH_A02G0334	A02	3592520	0.250947424770152
GH_A02G0338	A02	3625036	0.147793582854516
GH_A02G0341	A02	3664593	0.325254870884099
GH_A02G0395	A02	4365911	0.521130575941979
GH_A02G0398	A02	4406389	0.300314341619944
GH_A02G0401	A02	4421477	0.664763508504977
GH_A02G0402	A02	4423010	0.318947969243571
GH_A02G0431	A02	4969110	0.692157230326319
GH_A02G0470	A02	5834492	0.817597177953693
GH_A02G0474	A02	5866405	0.416394761252264
GH_A02G0475	A02	5877008	0.674896514886638
GH_A02G0476	A02	5896162	0.401865404475381
GH_A02G0483	A02	5980371	0.724894007783528
GH_A02G0506	A02	6524741	0.695341068921484
GH_A02G0507	A02	6549622	0.749320165786538
GH_A02G0510	A02	6690127	0.145389156918823
GH_A02G0526	A02	6949736	0.075977374180477
GH_A02G0535	A02	7030811	0.678240439437989
GH_A02G0542	A02	7105382	0.309772365515527
GH_A02G0546	A02	7122929	0.451265012298101
GH_A02G0547	A02	7165291	0.184816200786678
GH_A02G0557	A02	7364174	0.115628547960476
GH_A02G0563	A02	7493388	0.431614767665036
GH_A02G0682	A02	10045353	0.652145497912084
GH_A02G0688	A02	10231674	0.609049303445301
GH_A02G0695	A02	10385274	0.636192760071031
GH_A02G0750	A02	11755665	0.305121382605343
GH_A02G0798	A02	14077919	0.503988174414118
GH_A02G0799	A02	14080368	0.67772697837309
GH_A02G0806	A02	14320863	0.68308601062352
GH_A02G1075	A02	42859304	0.683297268449466
GH_A02G1081	A02	43019705	0.665414300088629
GH_A02G1088	A02	43279435	0.691677090787823
GH_A02G1090	A02	43523259	0.480995384374044
GH_A02G1252	A02	63003786	0.530849409509573
GH_A02G1354	A02	80012289	0.450649038848652
GH_A02G1368	A02	82254051	0.449972991721552
GH_A02G1369	A02	82257611	0.509257652959763
GH_A02G1547	A02	98348168	0.471128799549395
GH_A02G1570	A02	99296551	0.631634825587849
GH_A02G1576	A02	99505108	0.527913861917244
GH_A02G1606	A02	100330796	0.361118394536696
GH_A02G1623	A02	100899155	0.345672554800434
GH_A02G1625	A02	100926699	0.681492065234777
GH_A02G1626	A02	100959911	0.660863134216603
GH_A02G1632	A02	101135117	0.832763672385685
GH_A02G1685	A02	103565746	0.767243660488856
GH_A02G1692	A02	103699993	0.675864065393706
GH_A02G1707	A02	103868457	0.751965032892617
GH_A02G1715	A02	104064732	0.465361717061724
GH_A02G1719	A02	104226279	0.642407684671606
GH_A02G1733	A02	104502794	0.797118622082003
GH_A02G1734	A02	104509381	0.821253172343714
GH_A02G1739	A02	104613877	0.825219825423471
GH_A02G1740	A02	104650002	0.715524929091071
GH_A02G1741	A02	104655876	0.722162375452836
GH_A02G1743	A02	104678202	0.639249933644864
GH_A02G1745	A02	104706218	0.6513764546839
GH_A02G1770	A02	105241310	0.780870395223415
GH_A02G1771	A02	105246297	0.775936114093881
GH_A02G1793	A02	105528457	0.717070298440814
GH_A02G1794	A02	105559965	0.810112058695311
GH_A02G1814	A02	105834826	0.794149743986097
GH_A02G1819	A02	105868105	0.449972991721552
GH_A02G1825	A02	105919294	0.728831644334101
GH_A02G1826	A02	105948763	0.718846582717157
GH_A02G1850	A02	106411063	0.710259294206338
GH_A02G1857	A02	106512641	0.608068546962276
GH_A02G1862	A02	106571271	0.464030163185262
GH_A02G1863	A02	106589112	0.428555051366878
GH_A02G1872	A02	106672544	0.471643188685753
GH_A02G1874	A02	106694236	0.735217745435169
GH_A02G1885	A02	106901255	0.564917237648327
GH_A02G1915	A02	107179820	0.438720755882847
GH_A02G1923	A02	107259410	0.515921922513975
GH_A02G1934	A02	107365525	0.456437083092525
GH_A02G1935	A02	107367048	0.512584498094825
GH_A02G1949	A02	107462368	0.693801428343821
GH_A02G1981	A02	107696516	0.768096669586673
GH_A02G2012	A02	107898992	0.3943231038341
GH_A02G2033	A02	107992076	0.771404835961794
GH_A02G2035	A02	108007355	0.55463920723297
GH_A02G2036	A02	108013576	0.463727879232186
GH_A02G2057	A02	108137751	0.668854963276827
GH_A02G2059	A02	108143579	0.70385053947335
GH_A02G2060	A02	108148525	0.547739321805139
GH_A02G2064	A02	108183370	0.564301183310915
GH_A03G0003	A03	19066	0.514407130716247
GH_A03G0013	A03	87976	0.417090437038913
GH_A03G0020	A03	129662	0.103169250446073
GH_A03G0063	A03	629786	0.0337192256288977
GH_A03G0088	A03	929889	0.298697007307712
GH_A03G0100	A03	1141800	0.0218664069229821
GH_A03G0127	A03	1540972	0.725803384710395
GH_A03G0133	A03	1582380	0.640129423535038
GH_A03G0134	A03	1588436	0.387463270069597
GH_A03G0148	A03	1803560	0.665536723075287
GH_A03G0160	A03	2005786	0.713385024373851
GH_A03G0161	A03	2011929	0.678770608317455
GH_A03G0167	A03	2156828	0.612591680040621
GH_A03G0169	A03	2174527	0.55599153925677
GH_A03G0229	A03	2942740	0.734437555285174
GH_A03G0232	A03	2995860	0.55630157239961
GH_A03G0255	A03	3273788	0.355249515160156
GH_A03G0272	A03	3436131	0.298340838786981
GH_A03G0273	A03	3456806	0.481572205451491
GH_A03G0274	A03	3459734	0.480034850747626
GH_A03G0275	A03	3463517	0.374454678530705
GH_A03G0282	A03	3524282	0.293353141364668
GH_A03G0284	A03	3535861	0.463298792715593
GH_A03G0301	A03	3770706	0.641143816130212
GH_A03G0302	A03	3786044	0.407257272460065
GH_A03G0310	A03	3863907	0.162458553607724
GH_A03G0316	A03	3951616	0.255986269211799
GH_A03G0335	A03	4241561	0.626956907632865
GH_A03G0336	A03	4260440	0.639682256924064
GH_A03G0341	A03	4352408	0.672136935085905
GH_A03G0343	A03	4379762	0.484420791637525
GH_A03G0351	A03	4448134	0.618744286866952
GH_A03G0370	A03	4767199	0.767749244872386
GH_A03G0377	A03	4884524	0.451696720339569
GH_A03G0384	A03	4987757	0.786457203387544
GH_A03G0386	A03	5006303	0.599379809059405
GH_A03G0424	A03	5769436	0.499120790578001
GH_A03G0436	A03	5912414	0.798168589837174
GH_A03G0453	A03	6202220	0.699977637048033
GH_A03G0457	A03	6248469	0.732162959597305
GH_A03G0459	A03	6273949	0.741066775047882
GH_A03G0469	A03	6465897	0.412354136210043
GH_A03G0479	A03	6930856	0.705320045772276
GH_A03G0480	A03	6982893	0.584581722010012
GH_A03G0486	A03	7146699	0.495339733801336
GH_A03G0487	A03	7151358	0.469254032782802
GH_A03G0496	A03	7277727	0.637112894471647
GH_A03G0540	A03	8181492	0.655425190873723
GH_A03G0543	A03	8214505	0.624646715652542
GH_A03G0560	A03	8506586	0.654256900772989
GH_A03G0580	A03	9106055	0.643359449231885
GH_A03G0586	A03	9185299	0.640770058673605
GH_A03G0587	A03	9193793	0.703635599995892
GH_A03G0600	A03	9486736	0.790624399205263
GH_A03G0619	A03	10245461	0.79175544537827
GH_A03G0642	A03	11416997	0.758371893525095
GH_A03G0714	A03	13823623	0.435581708910272
GH_A03G0779	A03	16406485	0.768318416469022
GH_A03G0780	A03	16413597	0.550788032608164
GH_A03G0782	A03	16497366	0.503614460160323
GH_A03G0809	A03	17550028	0.522474155642399
GH_A03G0810	A03	17556691	0.738521866482313
GH_A03G0818	A03	18118035	0.689246414092952
GH_A03G0999	A03	36405428	0.696374389433501
GH_A03G1145	A03	58049052	0.582524015123702
GH_A03G1190	A03	65485565	0.68592384806202
GH_A03G1210	A03	66553975	0.508302768307757
GH_A03G1309	A03	73102885	0.626285034059501
GH_A03G1352	A03	78530997	0.829521680424269
GH_A03G1393	A03	85735896	0.778150048134918
GH_A03G1400	A03	86049575	0.74428253947482
GH_A03G1420	A03	88156721	0.733065251898406
GH_A03G1501	A03	92162105	0.578816139764184
GH_A03G1534	A03	94362288	0.561979736670127
GH_A03G1565	A03	95631482	0.687215648846116
GH_A03G1583	A03	96896980	0.643080256996206
GH_A03G1585	A03	96937427	0.611565547154724
GH_A03G1586	A03	96951207	0.711759807536061
GH_A03G1587	A03	97044846	0.701175403935626
GH_A03G1591	A03	97210951	0.765198414652735
GH_A03G1597	A03	97304328	0.692070275607199
GH_A03G1599	A03	97451576	0.674747818564849
GH_A03G1602	A03	97511945	0.638010143408334
GH_A03G1608	A03	97616474	0.840624982599047
GH_A03G1610	A03	97652915	0.63193056047965
GH_A03G1668	A03	100182028	0.699127111436031
GH_A03G1711	A03	101826872	0.62235006679243
GH_A03G1716	A03	101991338	0.825670719697674
GH_A03G1723	A03	102046374	0.434699831088016
GH_A03G1728	A03	102166928	0.717695844570073
GH_A03G1734	A03	102514406	0.695739446820586
GH_A03G1737	A03	102617373	0.83468188276316
GH_A03G1794	A03	103922365	0.607859867926054
GH_A03G1811	A03	104309482	0.7314337061156
GH_A03G1815	A03	104451813	0.11733534793224
GH_A03G1818	A03	104646385	0.62181235241363
GH_A03G1833	A03	104820721	0.589378945869262
GH_A03G1835	A03	104829433	0.660395862755086
GH_A03G1839	A03	104836284	0.56960191219121
GH_A03G1841	A03	104887009	0.673626248690794
GH_A03G1842	A03	104898603	0.474567806616966
GH_A03G1845	A03	105017380	0.775337740823901
GH_A03G1846	A03	105067128	0.643261579093929
GH_A03G1851	A03	105123321	0.381973166188789
GH_A03G1867	A03	105525658	0.606144460935751
GH_A03G1887	A03	105759991	0.598789017122353
GH_A03G1894	A03	105849300	0.456276500472915
GH_A03G1906	A03	106098919	0.667301502980638
GH_A03G1923	A03	106257713	0.734437555285174
GH_A03G1940	A03	106740135	0.353544225762095
GH_A03G1942	A03	106746622	0.511760856408659
GH_A03G1967	A03	107059276	0.661510177563009
GH_A03G1968	A03	107093547	0.75544969719589
GH_A03G1970	A03	107119931	0.667368608941914
GH_A03G2001	A03	107493624	0.390290371476303
GH_A03G2045	A03	108358584	0.65949777061569
GH_A03G2060	A03	108489947	0.509054138900627
GH_A03G2096	A03	108860863	0.57809235265202
GH_A03G2098	A03	108884580	0.419180015049348
GH_A03G2111	A03	108999443	0.221334802548713
GH_A03G2170	A03	109607386	0.793371848564189
GH_A03G2172	A03	109633854	0.772508967786701
GH_A03G2177	A03	109677521	0.644760306109452
GH_A03G2206	A03	109899610	0.706163912803299
GH_A03G2220	A03	109999908	0.525731751602898
GH_A03G2254	A03	110284073	0.446681455880984
GH_A03G2277	A03	110488298	0.445500515303236
GH_A03G2286	A03	110547027	0.629680363103055
GH_A03G2308	A03	110701736	0.666954412776191
GH_A03G2309	A03	110705077	0.64143528658914
GH_A03G2315	A03	110725955	0.61906673940845
GH_A03G2316	A03	110727830	0.633455437707205
GH_A03G2317	A03	110729299	0.608876585682587
GH_A03G2318	A03	110738031	0.491242659586546
GH_A03G2326	A03	110788992	0.517051142215819
GH_A03G2329	A03	110830065	0.527303904419966
GH_A03G2331	A03	110845470	0.618023919063396
GH_A03G2332	A03	110849776	0.464514108994782
GH_A03G2337	A03	110885613	0.45896385582694
GH_A03G2362	A03	111043397	0.615787177055415
GH_A03G2363	A03	111049245	0.718182068961969
GH_A03G2444	A03	111508218	0.783705288253752
GH_A04G0026	A04	245475	0.470213348132041
GH_A04G0027	A04	256169	0.456046136980442
GH_A04G0028	A04	259145	0.705704557729642
GH_A04G0047	A04	494049	0.734924637007104
GH_A04G0053	A04	532560	0.713952377076908
GH_A04G0070	A04	864652	0.778687421897479
GH_A04G0072	A04	926860	0.767736211728081
GH_A04G0073	A04	928971	0.759444226613147
GH_A04G0076	A04	954620	0.527568787697995
GH_A04G0077	A04	965141	0.685067309986196
GH_A04G0080	A04	1007964	0.731456095260662
GH_A04G0081	A04	1025448	0.658095835217496
GH_A04G0089	A04	1180166	0.772660181179414
GH_A04G0093	A04	1213537	0.732016835351266
GH_A04G0099	A04	1281675	0.743755906231243
GH_A04G0115	A04	1471698	0.609842993402221
GH_A04G0140	A04	1713095	0.787513814508609
GH_A04G0141	A04	1721984	0.602931689488449
GH_A04G0142	A04	1741210	0.734174457184643
GH_A04G0143	A04	1749801	0.69709692394491
GH_A04G0144	A04	1773096	0.701765861576177
GH_A04G0160	A04	2340429	0.642186817812095
GH_A04G0211	A04	3231471	0.642252448847467
GH_A04G0213	A04	3277250	0.765663320829492
GH_A04G0217	A04	3524764	0.803171046575752
GH_A04G0224	A04	3921638	0.39990456114441
GH_A04G0230	A04	4323030	0.63935992104667
GH_A04G0241	A04	4492063	0.310893943277032
GH_A04G0242	A04	4517757	0.262471394239576
GH_A04G0243	A04	4558007	0.250361333391226
GH_A04G0246	A04	4597448	0.471321862427238
GH_A04G0250	A04	4632728	0.528398895803433
GH_A04G0272	A04	4900228	0.498946430875886
GH_A04G0276	A04	4999800	0.751076211806863
GH_A04G0281	A04	5153200	0.627504768311007
GH_A04G0282	A04	5225162	0.721242577879329
GH_A04G0304	A04	5776974	0.677049222085979
GH_A04G0317	A04	6219181	0.556960798428616
GH_A04G0326	A04	6405371	0.602810136295306
GH_A04G0335	A04	6524394	0.683568333695739
GH_A04G0337	A04	6556834	0.683193806766538
GH_A04G0340	A04	6611828	0.820962395548853
GH_A04G0343	A04	6693686	0.773009041177894
GH_A04G0345	A04	6910851	0.70360197216428
GH_A04G0346	A04	6915975	0.771840660195666
GH_A04G0348	A04	6989418	0.709617269364907
GH_A04G0349	A04	7004058	0.712865439062394
GH_A04G0351	A04	7036956	0.689238926513907
GH_A04G0355	A04	7113539	0.676588855682741
GH_A04G0357	A04	7166978	0.707813640728768
GH_A04G0390	A04	7626071	0.628716818948044
GH_A04G0396	A04	7821501	0.637392052646951
GH_A04G0399	A04	7902183	0.673302856767803
GH_A04G0406	A04	8055062	0.571479896338053
GH_A04G0419	A04	8437330	0.705948118211737
GH_A04G0427	A04	8940816	0.696204236982995
GH_A04G0494	A04	11427414	0.0884683580587519
GH_A04G0523	A04	12341852	0.71385148542721
GH_A04G0755	A04	49106287	0.687125158508207
GH_A04G0936	A04	68038772	0.486420237926409
GH_A04G1136	A04	77612072	0.678123390760925
GH_A04G1146	A04	77811509	0.127708996892384
GH_A04G1164	A04	78189459	0.498104248172526
GH_A04G1167	A04	78238655	0.455268288775964
GH_A04G1168	A04	78244720	0.417978197502059
GH_A04G1174	A04	78414240	0.119977289038636
GH_A04G1180	A04	78681821	0.334147580928637
GH_A04G1200	A04	79724295	0.697105469920896
GH_A04G1201	A04	79726375	0.677959155273574
GH_A04G1202	A04	79727977	0.693929125810708
GH_A04G1203	A04	79737725	0.674637365403705
GH_A04G1240	A04	80700438	0.521912934977595
GH_A04G1292	A04	82114789	0.0876945000329313
GH_A04G1322	A04	82738480	0.695303879087109
GH_A04G1324	A04	82748054	0.699758003489714
GH_A04G1325	A04	82755718	0.689429343048907
GH_A04G1339	A04	83026685	0.442407455381398
GH_A04G1347	A04	83117511	0.576422602308986
GH_A04G1368	A04	83370326	0.683212873091873
GH_A04G1377	A04	83503552	0.606592337562639
GH_A04G1378	A04	83509768	0.664034884098129
GH_A04G1382	A04	83622997	0.597377276246865
GH_A04G1391	A04	83872743	0.729311816062859
GH_A04G1416	A04	84231466	0.748012737531516
GH_A04G1429	A04	84442850	0.799468229283777
GH_A04G1437	A04	84499786	0.536635690493873
GH_A04G1481	A04	84971197	0.744875251981891
GH_A04G1485	A04	85029913	0.566218623235083
GH_A04G1526	A04	85440951	0.181690599351079
GH_A04G1533	A04	85500048	0.394055713081832
GH_A04G1552	A04	85656722	0.674554549245534
GH_A04G1555	A04	85709659	0.665269569176369
GH_A04G1557	A04	85762091	0.650130232363945
GH_A04G1565	A04	85827317	0.669993470376788
GH_A04G1588	A04	86053158	0.414794764481405
GH_A04G1605	A04	86208374	0.570775136236317
GH_A04G1606	A04	86212927	0.119808243655315
GH_A04G1641	A04	86496875	0.555642315031313
GH_A04G1666	A04	86739497	0.813717010359511
GH_A04G1687	A04	86916829	0.549590315660336
GH_A04G1733	A04	87377551	0.701502328855426
GH_A04G1751	A04	87520318	0.701502328855426
GH_A04G1771	A04	87654269	0.701502328855426
GH_A05G0051	A05	735943	0.562434877629844
GH_A05G0067	A05	862452	0.669179920733613
GH_A05G0076	A05	913045	0.717010870088582
GH_A05G0187	A05	1789831	0.738198700424992
GH_A05G0212	A05	1992228	0.162176634299432
GH_A05G0214	A05	2008138	0.60026254063442
GH_A05G0217	A05	2044353	0.0218664069229821
GH_A05G0219	A05	2050602	0.40754336685217
GH_A05G0226	A05	2111741	0.380752710169051
GH_A05G0246	A05	2328470	0.0880180354602808
GH_A05G0247	A05	2334222	0.0864532939584038
GH_A05G0249	A05	2350325	0.0880184485728811
GH_A05G0252	A05	2367949	0.286579969175209
GH_A05G0254	A05	2398124	0.104948406909485
GH_A05G0259	A05	2497682	0.475613883279318
GH_A05G0260	A05	2501663	0.624643548667225
GH_A05G0262	A05	2524113	0.535459919263269
GH_A05G0266	A05	2593491	0.117494965874873
GH_A05G0268	A05	2603006	0.408912834616969
GH_A05G0272	A05	2628995	0.0917768508936004
GH_A05G0274	A05	2641100	0.359591309041057
GH_A05G0281	A05	2688038	0.0836745280726194
GH_A05G0284	A05	2744128	0.473858470716549
GH_A05G0293	A05	2844986	0.0882005945269415
GH_A05G0304	A05	2927505	0.430481702332583
GH_A05G0307	A05	2963888	0.568947227304145
GH_A05G0318	A05	3104270	0.564469288911724
GH_A05G0325	A05	3177168	0.630923073683514
GH_A05G0338	A05	3308677	0.691064742518321
GH_A05G0382	A05	3627663	0.348501226385614
GH_A05G0393	A05	3728437	0.719351518988939
GH_A05G0396	A05	3735852	0.701319042900503
GH_A05G0397	A05	3738959	0.711388601638509
GH_A05G0435	A05	4047509	0.477262269743697
GH_A05G0437	A05	4058925	0.495729970363439
GH_A05G0442	A05	4131906	0.808881468578487
GH_A05G0444	A05	4142077	0.732075971526448
GH_A05G0467	A05	4337404	0.781571851820568
GH_A05G0472	A05	4384769	0.820113200880853
GH_A05G0475	A05	4422240	0.546308732079641
GH_A05G0479	A05	4466434	0.672749496125109
GH_A05G0493	A05	4541551	0.591934959514871
GH_A05G0501	A05	4600835	0.475170945758699
GH_A05G0504	A05	4648906	0.538281605337408
GH_A05G0505	A05	4660854	0.524244485805641
GH_A05G0514	A05	4794448	0.480660922286703
GH_A05G0528	A05	4906138	0.57569383712593
GH_A05G0532	A05	4953813	0.527020091374286
GH_A05G0535	A05	4977444	0.526013882767665
GH_A05G0545	A05	5072238	0.736391150028093
GH_A05G0549	A05	5088439	0.680650976461748
GH_A05G0592	A05	5423281	0.391407317160198
GH_A05G0594	A05	5434246	0.525343118319202
GH_A05G0596	A05	5441069	0.577790584082344
